Week,Away Team,Home Team,Winning Team,offense_pa_Att_home,offense_pa_Cmp_home,offense_pa_Cmp %_home,offense_pa_Yds/Att_home,offense_pa_Pass Yds_home,offense_pa_TD_home,offense_pa_INT_home,offense_pa_Rate_home,offense_pa_1st_home,offense_pa_1st%_home,offense_pa_20_home,offense_pa_40_home,offense_pa_Lng_home,offense_pa_Sck_home,offense_pa_SckY_home,offense_ru_Att_home,offense_ru_Rush Yds_home,offense_ru_YPC_home,offense_ru_TD_home,offense_ru_20_home,offense_ru_40_home,offense_ru_Lng_home,offense_ru_Rush 1st_home,offense_ru_Rush 1st%_home,offense_ru_Rush FUM_home,offense_re_Rec_home,offense_re_Yds_home,offense_re_Yds/Rec_home,offense_re_TD_home,offense_re_20_home,offense_re_40_home,offense_re_Lng_home,offense_re_Rec 1st_home,offense_re_Rec 1st%_home,offense_re_Rec FUM_home,offense_do_3rd Att_home,offense_do_3rd Md_home,offense_do_4th Att_home,offense_do_4th Md_home,offense_do_Rec 1st_home,offense_do_Rec 1st%_home,offense_do_Rush 1st_home,offense_do_Rush 1st%_home,offense_do_Scrm Plys_home,offense_sc_Rsh TD_home,offense_sc_Rec TD_home,offense_sc_Tot TD_home,offense_sc_2-PT_home,offense_pa_Att_away,offense_pa_Cmp_away,offense_pa_Cmp %_away,offense_pa_Yds/Att_away,offense_pa_Pass Yds_away,offense_pa_TD_away,offense_pa_INT_away,offense_pa_Rate_away,offense_pa_1st_away,offense_pa_1st%_away,offense_pa_20_away,offense_pa_40_away,offense_pa_Lng_away,offense_pa_Sck_away,offense_pa_SckY_away,offense_ru_Att_away,offense_ru_Rush Yds_away,offense_ru_YPC_away,offense_ru_TD_away,offense_ru_20_away,offense_ru_40_away,offense_ru_Lng_away,offense_ru_Rush 1st_away,offense_ru_Rush 1st%_away,offense_ru_Rush FUM_away,offense_re_Rec_away,offense_re_Yds_away,offense_re_Yds/Rec_away,offense_re_TD_away,offense_re_20_away,offense_re_40_away,offense_re_Lng_away,offense_re_Rec 1st_away,offense_re_Rec 1st%_away,offense_re_Rec FUM_away,offense_do_3rd Att_away,offense_do_3rd Md_away,offense_do_4th Att_away,offense_do_4th Md_away,offense_do_Rec 1st_away,offense_do_Rec 1st%_away,offense_do_Rush 1st_away,offense_do_Rush 1st%_away,offense_do_Scrm Plys_away,offense_sc_Rsh TD_away,offense_sc_Rec TD_away,offense_sc_Tot TD_away,offense_sc_2-PT_away,Home_Win
17,Raiders,Colts,Colts,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
7,Raiders,Bears,Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
1,Raiders,Broncos,Raiders,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,451,1810,4.0,8,9,0,38,116,25.7,5,337,3566,10.6,28,44,13,60,154,45.7,7,220,81,20,13,154,45.7,116,25.7,1016,8,28,38,4,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,0
4,Raiders,Chargers,Chargers,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,431,1642,3.8,11,9,3,55,89,20.6,6,409,4312,10.5,24,55,7,79,204,49.9,8,237,91,32,15,204,49.9,89,20.6,1106,11,24,36,1,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
2,Raiders,Bills,Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,512,2212,4.3,22,9,1,42,158,30.9,9,385,4306,11.2,29,49,9,81,199,51.7,6,219,109,16,9,199,51.7,158,30.9,1115,22,29,54,3,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
8,Raiders,Lions,Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
11,Raiders,Dolphins,Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,456,2308,5.1,27,17,8,76,113,24.8,13,393,4698,12.0,30,59,12,78,223,56.7,4,202,85,25,11,223,56.7,113,24.8,1053,27,30,61,0,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,1
17,Bengals,Chiefs,Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,417,1784,4.3,9,10,1,48,107,25.7,2,421,4383,10.4,28,52,8,67,216,51.3,7,220,96,20,10,216,51.3,107,25.7,1080,9,28,39,0,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,1
1,Bengals,Browns,Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318,518,2017,3.9,15,9,3,69,121,23.4,9,355,4011,11.3,24,53,15,75,173,48.7,5,253,80,32,18,173,48.7,121,23.4,1187,15,24,42,6,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,1
16,Bengals,Steelers,Steelers,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,1
11,Bengals,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,541,2661,4.9,26,21,4,60,144,26.6,7,328,3881,11.8,27,52,9,80,180,54.9,6,207,87,14,8,180,54.9,144,26.6,1076,26,27,55,2,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,1
4,Bengals,Titans,Titans,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52.0,2,212,71,20,11,158,52.0,103,23.2,1002,16,14,31,1,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,1
13,Bengals,Jaguars,Bengals,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,0
5,Bengals,Cardinals,Bengals,555,355,64.0,6.2,3430,18,12,82.9,173,31.2,38,3,69,42,286,471,2365,5.0,17,23,5,49,127,27.0,9,355,3430,9.7,18,38,3,69,173,48.7,2,225,88,34,15,173,48.7,127,27.0,1068,17,18,36,4,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,0
8,Bengals,49ers,Bengals,491,336,68.4,9.3,4577,33,12,110.2,207,42.2,75,15,76,34,193,499,2389,4.8,27,11,3,72,147,29.5,5,336,4577,13.6,33,75,15,76,207,61.6,3,179,85,13,7,207,61.6,147,29.5,1024,27,33,61,0,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,0
1,Panthers,Falcons,Falcons,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251,522,2159,4.1,14,11,0,38,121,23.2,13,327,3775,11.5,17,46,10,75,181,55.4,2,225,90,19,8,181,55.4,121,23.2,1092,14,17,32,2,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
14,Panthers,Saints,Saints,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,480,1742,3.6,13,4,0,29,112,23.3,6,406,4225,10.4,28,52,11,58,199,49.0,0,235,91,19,9,199,49.0,112,23.3,1121,13,28,44,4,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
10,Panthers,Bears,Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
3,Panthers,Seahawks,Seahawks,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,382,1580,4.1,11,13,1,45,93,24.4,2,371,4167,11.2,23,56,6,73,189,50.9,0,207,75,16,6,189,50.9,93,24.4,995,11,23,37,2,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
5,Panthers,Lions,Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
12,Panthers,Titans,Titans,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52.0,2,212,71,20,11,158,52.0,103,23.2,1002,16,14,31,1,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
13,Panthers,Buccaneers,Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,439,1509,3.4,8,5,0,38,79,18.0,4,364,4044,11.1,28,60,12,75,188,51.6,7,236,98,18,12,188,51.6,79,18.0,1047,8,28,37,2,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
17,Panthers,Jaguars,Jaguars,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
6,Panthers,Dolphins,Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,456,2308,5.1,27,17,8,76,113,24.8,13,393,4698,12.0,30,59,12,78,223,56.7,4,202,85,25,11,223,56.7,113,24.8,1053,27,30,61,0,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,1
2,Packers,Falcons,Falcons,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251,522,2159,4.1,14,11,0,38,121,23.2,13,327,3775,11.5,17,46,10,75,181,55.4,2,225,90,19,8,181,55.4,121,23.2,1092,14,17,32,2,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,1
17,Packers,Vikings,Packers,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62,47,341,393,1553,4.0,7,5,0,31,79,20.1,9,424,4700,11.1,30,74,7,62,220,51.9,4,223,85,29,17,220,51.9,79,20.1,1071,7,30,39,1,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,0
10,Packers,Steelers,Steelers,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,1
1,Packers,Bears,Packers,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,0
7,Packers,Broncos,Broncos,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,451,1810,4.0,8,9,0,38,116,25.7,5,337,3566,10.6,28,44,13,60,154,45.7,7,220,81,20,13,154,45.7,116,25.7,1016,8,28,38,4,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,1
14,Packers,Giants,Giants,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,454,1874,4.1,10,12,0,36,97,21.4,8,338,3351,9.9,15,44,7,80,141,41.7,3,248,75,37,18,141,41.7,97,21.4,1057,10,15,29,1,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,1
12,Packers,Lions,Packers,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,0
16,Packers,Panthers,Packers,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,0
5,Packers,Raiders,Raiders,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,1
5,Texans,Falcons,Falcons,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251,522,2159,4.1,14,11,0,38,121,23.2,13,327,3775,11.5,17,46,10,75,181,55.4,2,225,90,19,8,181,55.4,121,23.2,1092,14,17,32,2,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,1
18,Texans,Colts,Texans,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,0
1,Texans,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,541,2661,4.9,26,21,4,60,144,26.6,7,328,3881,11.8,27,52,9,80,180,54.9,6,207,87,14,8,180,54.9,144,26.6,1076,26,27,55,2,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,1
14,Texans,Jets,Jets,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,1
10,Texans,Bengals,Texans,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,0
15,Texans,Titans,Texans,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52.0,2,212,71,20,11,158,52.0,103,23.2,1002,16,14,31,1,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,0
3,Texans,Jaguars,Texans,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,0
8,Texans,Panthers,Panthers,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,1
6,Commanders,Falcons,Commanders,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251,522,2159,4.1,14,11,0,38,121,23.2,13,327,3775,11.5,17,46,10,75,181,55.4,2,225,90,19,8,181,55.4,121,23.2,1092,14,17,32,2,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,0
2,Commanders,Broncos,Commanders,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,451,1810,4.0,8,9,0,38,116,25.7,5,337,3566,10.6,28,44,13,60,154,45.7,7,220,81,20,13,154,45.7,116,25.7,1016,8,28,38,4,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,0
4,Commanders,Eagles,Eagles,563,369,65.5,7.2,4067,24,16,89.2,197,35.0,50,7,63,39,233,510,2190,4.3,22,11,1,43,149,29.2,9,369,4067,11.0,24,50,7,63,197,53.4,4,225,108,26,19,197,53.4,149,29.2,1112,22,24,49,1,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
10,Commanders,Seahawks,Seahawks,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,382,1580,4.1,11,13,1,45,93,24.4,2,371,4167,11.2,23,56,6,73,189,50.9,0,207,75,16,6,189,50.9,93,24.4,995,11,23,37,2,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
7,Commanders,Giants,Giants,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,454,1874,4.1,10,12,0,36,97,21.4,8,338,3351,9.9,15,44,7,80,141,41.7,3,248,75,37,18,141,41.7,97,21.4,1057,10,15,29,1,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
16,Commanders,Jets,Jets,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
15,Commanders,Rams,Rams,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
12,Commanders,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,468,1920,4.1,14,12,1,46,113,24.2,4,428,4660,10.9,36,64,7,92,229,53.5,6,230,111,23,13,229,53.5,113,24.2,1122,14,36,57,4,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,1
